word_ID,Word,translation,Block
r3_sp_1,fresco,fresh,Span
r3_sp_2,borracho,drunk,Span
r3_sp_3,coche,car,Span
r3_sp_4,gasolina,gas,Span
r3_sp_5,familia,family,Span
r3_sp_6,arroz,rice,Span
r3_sp_7,chocolate,chocolate,Span
r3_sp_8,correr,to run,Span
r3_sp_9,camara,camera,Span
r3_sp_10,nina,girl,Span
r3_sp_11,bebida,drink,Span
r3_sp_12,tierra,dirt,Span
r3_en_1,home,hogar,Eng
r3_en_2,cow,vaca,Eng
r3_en_3,hospital,hospital,Eng
r3_en_4,water1,agua,Eng
r3_en_5,sweat,sudor,Eng
r3_en_6,pizza,pizza,Eng
r3_en_7,happy,feliz,Eng
r3_en_8,hair,cabello,Eng
r3_en_9,summer,verano,Eng
r3_en_10,vacation,vacacion,Eng
r3_en_11,bottle,botella,Eng
r3_en_12,soccer,futbol,Eng
r3_en_13,candy,golosina,Eng
r3_en_14,bird,pajaro,Eng
r3_en_15,vegetable,vegetal,Eng
r3_en_16,water2,agua,Eng
r3_en_17,paint,pintura,Eng
